"AIRPORT","LATITUDE","LONGITUDE","AIRPORT_IS_LATEST",
"01A",58.10944444,-152.90666667,1,
"03A",65.54805556,-161.07166667,1,
"04A",68.08333333,-163.16666667,1,
"05A",67.57000000,-148.18388889,1,
"06A",57.74527778,-152.88277778,1,
"07A",55.55472222,-133.10166667,1,
"08A",59.15694444,-151.82916667,1,
"09A",59.36277778,-153.43055556,1,
"1B1",42.29138889,-73.71027778,1,
"1B1",42.28888889,-73.71027778,0,
"1CA",38.19333333,-121.70361111,1,
"1G4",35.98611111,-113.81694444,1,
"1G4",35.99027778,-113.81638889,0,
"1G4",35.99027778,-113.81638889,0,
"1G4",35.98611111,-113.81694444,0,
"1GA",33.39000000,-84.33111111,1,
"1N7",40.97111111,-74.99750000,1,
"1NC",36.43944444,-77.70944444,1,
"1NY",42.63694444,-77.05277778,1,
"1NY",42.63722222,-77.05277778,0,
"1NY",42.63694444,-77.05277778,0,
"1TN",35.65638889,-88.19527778,1,
"1TX",35.85750000,-102.01333333,1,
"2CA",35.74555556,-119.23638889,1,
"2GA",31.21305556,-84.23527778,1,
"2NY",40.82750000,-73.71694444,1,
"3GA",31.39750000,-84.89472222,1,
"3NY",40.89861111,-72.41055556,1,
"3TX",32.57750000,-96.71750000,1,
"6B0",43.98472222,-73.09583333,0,
"6B0",43.98472222,-73.09583333,0,
"6B0",43.98555556,-73.09555556,0,
"6B0",43.98555556,-73.09555556,1,
"7AK",54.14472222,-165.60416667,1,
"8F3",33.62388889,-101.24083333,1,
"A01",64.36416667,-147.36138889,0,
"A01",64.36361111,-147.36388889,1,
"A02",57.06666667,-153.93777778,1,
"A03",58.45750000,-154.02333333,1,
"A04",57.27722222,-154.34222222,1,
"A05",61.96388889,-151.55583333,1,
"A06",65.65555556,-165.35638889,1,
"A07",66.76611111,-160.15277778,1,
"A07",66.76583333,-160.15250000,0,
"A08",56.59805556,-134.24277778,1,
"A09",60.48166667,-146.58416667,1,
"A09",60.48222222,-146.58222222,0,
"A09",60.48166667,-146.58416667,0,
"A09",60.48222222,-146.58222222,0,
"A11",60.78388889,-159.54027778,1,
"A12",60.78527778,-158.86444444,1,
"A13",61.39027778,-157.99555556,1,
"A14",61.18888889,-159.85833333,1,
"A15",70.71555556,-154.40694444,1,
"A15",70.71861111,-154.38833333,0,
"A16",70.74694444,-155.36083333,1,
"A17",58.06555556,-153.07250000,1,
"A18",63.54111111,-150.99500000,1,
"A18",63.54166667,-150.99388889,0,
"A18",63.54111111,-150.99500000,0,
"A18",63.54166667,-150.99388889,0,
"A1K",70.13611111,-146.29000000,1,
"A1L",34.26861111,-86.85805556,1,
"A20",70.34416667,-150.94472222,1,
"A21",65.85138889,-164.70277778,1,
"A22",53.97277778,-166.85694444,1,
"A23",59.77611111,-151.96361111,1,
"A24",59.33166667,-135.89666667,1,
"A25",59.28833333,-136.17388889,1,
"A26",68.48333333,-155.73333333,1,
"A27",64.44000000,-144.93638889,1,
"A28",57.25388889,-154.42222222,1,
"A29",57.32305556,-153.14944444,1,
"A2K",58.23305556,-157.36638889,1,
"A2L",34.47361111,-85.72138889,1,
"A30",57.96388889,-153.05833333,1,
"A31",58.98277778,-153.18333333,1,
"A34",58.36194444,-152.31222222,1,
"A35",70.17277778,-146.83611111,1,
"A36",55.56027778,-131.65555556,1,
"A37",61.89888889,-161.43972222,1,
"A37",61.89888889,-161.43805556,0,
"A38",64.09722222,-143.26666667,1,
"A39",61.86611111,-141.15972222,1,
"A3K",70.76583333,-154.23083333,1,
"A40",71.05694444,-154.72833333,1,
"A41",70.57472222,-152.25888889,1,
"A41",70.57611111,-152.27111111,0,
"A42",70.35833333,-153.19666667,1,
"A43",57.78083333,-152.39111111,1,
"A45",57.81666667,-134.58333333,1,
"A46",57.70000000,-134.26666667,1,
"A47",57.61666667,-134.36666667,1,
"A48",57.15000000,-153.15000000,1,
"A49",70.28444444,-152.21194444,1,
"A4K",64.42138889,-149.89444444,1,
"A50",58.56250000,-152.59611111,1,
"A51",64.35277778,-151.27500000,1,
"A52",59.96388889,-152.68222222,1,
"A53",64.33333333,-147.50000000,1,
"A54",53.68333333,-166.75000000,1,
"A56",56.03666667,-160.26611111,1,
"A57",58.26666667,-157.53333333,1,
"A58",64.50000000,-151.66666667,1,
"A59",68.48777778,-155.75750000,1,
"A5K",63.02444444,-145.50055556,1,
"A5K",63.02444444,-145.50055556,1,
"A61",54.58333333,-164.91250000,0,
"A61",54.58250000,-164.91444444,1,
"A62",60.86777778,-157.39194444,1,
"A63",65.31111111,-143.13527778,0,
"A63",65.31138889,-143.13555556,0,
"A63",65.31166667,-143.13416667,0,
"A63",65.31138889,-143.13555556,0,
"A63",65.31166667,-143.13416667,1,
"A65",57.53833333,-154.16444444,1,
"A66",60.90555556,-149.62388889,0,
"A66",60.90416667,-149.62388889,0,
"A66",60.90722222,-149.62277778,0,
"A66",60.90416667,-149.62388889,0,
"A66",60.90722222,-149.62277778,1,
"A67",57.84944444,-153.11527778,1,
"A69",55.74000000,-162.12527778,1,
"A6K",65.04472222,-145.42305556,1,
"A70",57.77416667,-153.54472222,1,
"A71",59.73833333,-151.03000000,1,
"A72",59.83333333,-152.58472222,1,
"A73",63.73250000,-148.91055556,1,
"A74",59.24111111,-151.87722222,1,
"A75",58.17194444,-152.89416667,1,
"A76",58.46444444,-152.59305556,1,
"A77",57.34333333,-152.89722222,1,
"A78",71.03000000,-154.44361111,1,
"A79",71.50166667,-154.03388889,1,
"A7K",62.03611111,-151.45222222,1,
"A80",70.57388889,-155.32138889,1,
"A81",70.66277778,-154.83666667,1,
"A82",60.69027778,-151.28888889,1,
"A83",59.37638889,-150.76500000,1,
"A84",63.75555556,-147.93000000,1,
"A85",61.85944444,-154.27666667,1,
"A87",58.58305556,-152.44583333,1,
"A89",59.92500000,-147.51666667,1,
"A8K",60.96166667,-151.33166667,1,
"A90",59.03916667,-158.46388889,1,
"A91",69.15555556,-163.49722222,1,
"A92",69.14805556,-163.51027778,1,
"A93",59.79166667,-151.26666667,1,
"A94",70.57416667,-155.31805556,1,
"A95",70.31194444,-153.24916667,1,
"A96",70.98083333,-157.09500000,1,
"A97",68.98555556,-163.47972222,1,
"A98",69.17083333,-163.25638889,1,
"A99",68.67666667,-162.64694444,1,
"AA1",59.95277778,-162.61694444,1,
"AA2",58.70944444,-157.07138889,1,
"AA4",59.63333333,-151.20833333,1,
"AA5",66.95583333,-155.61500000,1,
"AA7",65.67361111,-162.46416667,1,
"AA8",70.13750000,-147.03055556,1,
"AA9",61.53638889,-158.73888889,1,
"AAA",-17.35388889,-145.50972222,0,
"AAA",-17.35250000,-145.51000000,1,
"AAB",-26.70000000,141.04166667,1,
"AAC",31.07638889,33.83333333,0,
"AAC",31.07333333,33.83583333,1,
"AAD",18.05000000,30.93361111,1,
"AAE",36.82166667,7.81000000,0,
"AAE",36.82222222,7.80944444,0,
"AAE",36.82944444,7.81388889,1,
"AAF",29.72750000,-85.02750000,0,
"AAF",29.72750000,-85.02750000,0,
"AAF",29.72750000,-85.02750000,0,
"AAF",29.72750000,-85.02750000,1,
"AAH",50.82305556,6.18611111,0,
"AAH",50.82305556,6.18611111,0,
"AAH",50.82305556,6.18750000,0,
"AAH",50.82305556,6.18750000,0,
"AAH",50.82305556,6.18750000,0,
"AAH",50.82305556,6.18750000,1,
"AAI",-12.91666667,-46.93333333,0,
"AAI",-13.02500000,-46.88416667,0,
"AAI",-13.02583333,-46.88361111,0,
"AAI",-13.02500000,-46.88416667,0,
"AAI",-13.02583333,-46.88361111,1,
"AAL",57.09305556,9.85000000,0,
"AAL",57.09277778,9.84916667,0,
"AAL",57.09416667,9.85583333,1,
"AAM",-24.80833333,31.54166667,0,
"AAM",-24.81694444,31.54416667,1,
"AAN",24.26166667,55.60916667,0,
"AAN",24.26194444,55.60750000,0,
"AAN",24.26166667,55.60916667,1,
"AAO",9.43194444,-64.46388889,0,
"AAO",9.43027778,-64.47083333,0,
"AAO",9.43000000,-64.47083333,0,
"AAO",9.43027778,-64.47083333,0,
"AAO",9.43000000,-64.47083333,1,
"AAQ",44.90000000,37.31666667,0,
"AAQ",45.00222222,37.34722222,0,
"AAQ",45.00222222,37.34722222,0,
"AAQ",45.00222222,37.34722222,1,
"AAR",56.31027778,10.61805556,0,
"AAR",56.30388889,10.62000000,0,
"AAR",56.30000000,10.61888889,1,
"AAU",-13.51666667,-172.65000000,1,
"AAX",-19.56805556,-46.92916667,0,
"AAX",-19.56333333,-46.96027778,0,
"AAX",-19.56333333,-46.96027778,1,
"ABA",53.74000000,91.38500000,0,
"ABA",53.74000000,91.38500000,0,
"ABA",53.74000000,91.38527778,1,
"ABD",30.36611111,48.23222222,0,
"ABD",30.36611111,48.23222222,0,
"ABD",30.36527778,48.23305556,1,
"ABE",40.65472222,-75.43833333,0,
"ABE",40.65222222,-75.44027778,0,
"ABE",40.65222222,-75.44055556,0,
"ABE",40.65222222,-75.44027778,0,
"ABE",40.65222222,-75.44055556,0,
"ABE",40.65250000,-75.44027778,1,
"ABI",32.40944444,-99.67972222,0,
"ABI",32.41111111,-99.68166667,0,
"ABI",32.41138889,-99.68194444,1,
"ABJ",5.25555556,-3.92916667,0,
"ABJ",5.26138889,-3.92583333,0,
"ABJ",5.26138889,-3.92583333,0,
"ABJ",5.26138889,-3.92583333,0,
"ABJ",5.26138889,-3.92583333,0,
"ABJ",5.26138889,-3.92583333,1,
"ABK",6.73388889,44.26611111,0,
"ABK",6.73277778,44.24166667,0,
"ABK",6.73277778,44.24138889,0,
"ABK",6.73277778,44.24166667,0,
"ABK",6.73277778,44.24138889,1,
"ABL",67.08750000,-157.84583333,1,
"ABQ",35.04166667,-106.60638889,0,
"ABQ",35.04027778,-106.60916667,0,
"ABQ",35.03888889,-106.60833333,0,
"ABQ",35.04027778,-106.60916667,0,
"ABQ",35.03888889,-106.60833333,1,
"ABR",45.44972222,-98.42166667,0,
"ABR",45.44916667,-98.42194444,0,
"ABR",45.44833333,-98.42250000,0,
"ABR",45.44666667,-98.42250000,0,
"ABR",45.44916667,-98.42194444,0,
"ABR",45.44666667,-98.42250000,1,
"ABS",22.37222222,31.61527778,0,
"ABS",22.37472222,31.60944444,0,
"ABS",22.37583333,31.61166667,0,
"ABS",22.37472222,31.60944444,0,
"ABS",22.37583333,31.61166667,1,
"ABT",20.29611111,41.63416667,0,
"ABT",20.29611111,41.63416667,0,
"ABT",20.29611111,41.63416667,0,
"ABT",20.29611111,41.63416667,0,
"ABT",20.29833333,41.63583333,1,
"ABV",9.00555556,7.26611111,0,
"ABV",9.00666667,7.26305556,0,
"ABV",9.00666667,7.26305556,0,
"ABV",9.00666667,7.26305556,0,
"ABV",9.00666667,7.26305556,1,
"ABX",-36.06833333,146.97666667,0,
"ABX",-36.06777778,146.95805556,1,
"ABY",31.53222222,-84.19611111,0,
"ABY",31.53555556,-84.19444444,1,
"ABZ",57.20416667,-2.19861111,0,
"ABZ",57.20194444,-2.19777778,0,
"ABZ",57.20250000,-2.19805556,0,
"ABZ",57.20361111,-2.19916667,0,
"ABZ",57.20194444,-2.19777778,0,
"ABZ",57.20361111,-2.19916667,1,
"ACA",16.75555556,-99.76694444,0,
"ACA",16.75694444,-99.75388889,1,
"ACB",44.98472222,-85.19916667,0,
"ACB",44.98861111,-85.19833333,1,
"ACC",5.59527778,-0.17083333,0,
"ACC",5.60444444,-0.16750000,1,
"ACE",28.94250000,-13.60472222,0,
"ACE",28.94555556,-13.60527778,1,
"ACH",47.48527778,9.56000000,0,
"ACH",47.48500000,9.56000000,1,
"ACI",49.70694444,-2.21527778,0,
"ACI",49.70611111,-2.21472222,0,
"ACI",49.70666667,-2.21444444,0,
"ACI",49.70666667,-2.21472222,0,
"ACI",49.70611111,-2.21472222,0,
"ACI",49.70666667,-2.21472222,0,
"ACI",49.70694444,-2.21472222,1,
"ACK",41.25666667,-70.05972222,0,
"ACK",41.25305556,-70.06027778,0,
"ACK",41.25305556,-70.06000000,0,
"ACK",41.25305556,-70.06027778,0,
"ACK",41.25305556,-70.06000000,1,
"ACT",31.61138889,-97.22861111,0,
"ACT",31.61222222,-97.23027778,1,
"ACU",8.43333333,-77.96666667,1,
"ACV",40.97916667,-124.10750000,0,
"ACV",40.97805556,-124.10861111,0,
"ACV",40.97777778,-124.10833333,0,
"ACV",40.97777778,-124.10833333,0,
"ACV",40.97805556,-124.10861111,0,
"ACV",40.97777778,-124.10833333,1,
"ACY",39.45611111,-74.57805556,0,
"ACY",39.45666667,-74.57777778,0,
